category,rt
3,2.588517
2,2.538022
2,3.595099
2,2.201191
2,2.604290
1,2.457623
1,2.900596
1,2.901151
3,2.887441
3,1.247121
3,3.915246
1,2.167566
1,2.336711
3,2.300745
2,1.741494
2,3.819905
2,2.471114
3,3.163341
1,2.751661
2,2.898023
2,2.723969
1,2.077451
3,2.689092
2,2.349105
2,2.284830
2,1.539285
2,3.504910
2,6.376883
2,4.266138
3,5.455041
3,5.735044
2,6.666757
2,1.911470
3,3.320661
3,2.755436
1,3.202412
3,4.558802
3,2.982935
2,3.172017
1,7.970799e-02
1,5.100104
3,3.090539
1,3.450219
1,3.053355
1,2.695653
3,2.498000
1,2.363233
1,2.777156