Country,UN estimate,Estimate,Date,Regionalgrouping,Source
Russia,"145,734,038","146,171,015",1 Jan 2021,EAEU,National annual estimate[7
Turkey,"82,340,088","83,614,362",31 Dec 2020,,National annual estimate[8
Germany,"83,124,418","83,129,285",30 Jun 2021,EU,National quarterly estimate[9
France,"64,990,511","67,505,000",1 Oct 2021,EU,National monthly estimate[10
United Kingdom,"67,141,684","67,081,000",30 Jun 2020,,National annual estimate[11
Italy,"60,627,291","59,069,259",30 Sep 2021,EU,National monthly estimate[12
Spain,"46,692,858","47,326,687",1 Jul 2021,EU,National estimate[13
Ukraine,"44,246,156","41,270,899",1 Nov 2021,DCFTA,National monthly estimate[14
Poland,"37,921,592","38,151,000",30 Sep 2021,EU,National monthly estimate[15
Romania,"19,506,114","19,186,000",1 Jan 2021,EU,National annual estimate[16
Kazakhstan,"18,319,618","19,009,600",1 Jul 2021,EAEU,National estimate[17
Netherlands,"17,059,560","17,594,680",13 Dec 2021,EU,National population clock[18
Belgium,"11,482,178","11,521,238",1 Jan 2021,EU,National estimate[19
Greece,"10,522,246","10,718,565",1 Jan 2020,EU,National estimate[20
Czech Republic,"10,665,677","10,682,029",30 Sep 2021,EU,National quarterly estimate[21
Sweden,"9,971,638","10,435,447",30 Sep 2021,EU,National monthly estimate[22
Portugal,"10,256,193","10,298,252",31 Dec 2020,EU,National annual estimate[23
Azerbaijan,"9,949,537","10,139,196",1 Jul 2021,,National estimate[24
Hungary,"9,707,499","9,730,772",1 Jan 2021,EU,National annual estimate[25
Belarus,"9,452,617","9,349,600",1 Jan 2021,EAEU,National quarterly estimate[26
Austria,"8,891,388","8,976,467",1 Oct 2021,EU,Quarterly provisional figure[27
Switzerland,"8,525,611","8,717,105",30 Sep 2021,EFTA,National provisional figure[28
Bulgaria,"7,051,608","6,916,548",31 Dec 2020,EU,National estimate[29
Serbia,"8,802,754","6,871,547",1 Jan 2021,,National annual estimate[30
Denmark,"5,752,126","5,867,412",1 Oct 2021,EU,National quarterly estimate[31
Finland,"5,522,576","5,541,806",30 Jun 2021,EU,Monthly national estimate[32
Slovakia,"5,453,014","5,459,781",31 Dec 2020,EU,National estimate[33
Norway,"5,337,962","5,415,166",30 Sep 2021,EFTA,National quarterly estimate[34
Ireland,"4,818,690","5,011,500",1 Apr 2021,EU,National estimate[35
Croatia,"4,156,405","4,105,493",31 Dec 2017,EU,National estimate[36
Georgia,"4,002,942","3,728,600",1 Jan 2021,DCFTA,National annual estimate[37
Bosnia and Herzegovina,"3,323,925","3,511,372",30 Jun 2016,,National estimate[38
Armenia,"2,951,745","2,956,900",1 Jan 2018,EAEU,National annual estimate[39
Albania,"2,882,740","2,829,741",1 Jan 2021,,National annual estimate[40
Lithuania,"2,801,264","2,783,483",1 Jul 2021,EU,Monthly national estimate[41
Moldova,"4,051,944","2,597,100",1 Jan 2021,DCFTA,National estimate[42
Slovenia,"2,077,837","2,108,977",1 Jan 2021,EU,National estimate[43
North Macedonia,"2,082,957","2,068,808",31 Dec 2020,,National estimate[44
Latvia,"1,928,459","1,893,223",1 Jan 2021,EU,National estimate[45
Kosovo7,,"1,798,506",31 Dec 2017,,National annual estimate[46
Estonia,"1,322,920","1,330,068",1 Jan 2021,EU,National estimate[47
Cyprus,"1,189,265","864,200",31 Dec 2017,EU,National annual estimate[48
Luxembourg,"604,245","634,730",1 Jan 2021,EU,National estimate[49
Montenegro,"627,809","622,359",1 Jan 2018,,National estimate[50
Malta,"514,564","514,564",31 Dec 2019,EU,National estimate[51
Iceland,"336,713","374,830",30 Sep 2021,EFTA,National quarterly estimate[52
Jersey(UK),,"105,500",31 Dec 2017,,National estimate[53
Isle of Man(UK),"84,077","83,314",24 Apr 2016,,2016 census result[54
Andorra,"77,006","78,015",31 Dec 2020,,National estimate[55
Guernsey(UK),,"62,063",31 Dec 2017,,National estimate[56
Faroe Islands(Denmark),"48,497","53,399",1 Jul 2021,,Monthly national estimate[57
Liechtenstein,"37,910","39,062",31 Dec 2020,EFTA,National semi annual estimate[58
Monaco,"38,682","38,350",31 Dec 2020,,National annual estimate[59
Gibraltar(UK),"33,718","33,573",31 Dec 2015,,National estimate[60
San Marino,"33,785","33,599",31 May 2021,,National monthly estimate[61
Ã…land (Finland),,"30,129",31 Dec 2020,EU,National estimate[62
Vatican City,,799,3 Jul 2019,,National estimate[63
